tweet_id,sentiment,author,content,gemini
1956967341,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,12
1956969456,neutral,feinyheiny,cant fall asleep,11
1956971981,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,10
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,1
1956977084,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,6
1956979894,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,2
1956982449,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,5
1956983931,neutral,MunkyMunch,I cant give @jertronic any bday nudges.,9
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,13
1956988145,neutral,padfootly,@lepetitagneau what's going on sweetheart?,12
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),1
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,13
1956995852,neutral,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow,11
1956997619,neutral,kudosbeauty,"claire @breakfastnt love the show, got into the office @ 5am and no radio",9
1957000314,neutral,Phenikone,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,6
1957002082,sadness,V0NST3V3,"Last day working for the Uni today, sad times",11
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,1
1957006098,worry,puelladei,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,11
1957007357,empty,_SNO_,Have a headache  I'm going to bed. Goodnight!,11
1957008478,surprise,bekahjayne,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",4
1957011291,sadness,ABCeCe,@AlexanderGWhite daaammmnnnnn I do wish I was there.,4
1957013804,love,jammmaster1021,@bobbyedner i missed the game,11
1957015287,neutral,skk123,@MrRathbone what about me,9
1957017320,worry,xSpotlighted,@__sugar oh no  i am always here ;) &lt;3,12
1957019121,neutral,portablegamer,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",2
1957020702,happiness,HD_Fury,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,5
1957023061,surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",11
1957027630,sadness,CforrClemmensen,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,11
1957030196,worry,SoSpoiledDatsMe,my twitter has been hacked again,13
1957032127,neutral,minauderie,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",2
1957033901,worry,ACjoint,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,11
1957036183,neutral,LizSkoczylas,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,9
1957039203,worry,megan_kelli,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",11
1957041648,neutral,ssanyal,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,2
1957042734,empty,Kayleia,0,9
1957044935,hate,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,1
1957047569,worry,kilrturkey,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,13
1957050747,sadness,Nick_Myndflip,@RealBlackWidow But but I dun wanna,2
1957053409,relief,gangstamittens,is home.  safely... but hungry,10
1957057469,worry,ohsht,i feel like I'm on house arrest.,1
1957060283,neutral,mizzlizwhizz,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,9
1957062827,sadness,SamG2020,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,5
1957065963,neutral,sloanquigley,@nayRyelgiuQ airport? and you didnt show up tonight homo!,
1957070273,surprise,courtneyyy3,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,9
1957072682,worry,anticlothes,Sooo much work so little time,13
1957074812,neutral,joslinjewels,@rockingjude The link doesn't work,9
1957076214,worry,passionsista,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,11
1957079130,worry,AmGies,@JayDz hope ya sleepin well  guys still here,9
1957080579,sadness,btiggs,I'm poorly and can't sleep,11
1957083056,neutral,Rmgrooms,Can't sleep and nothings on tv!!,2
1957084552,neutral,Mari8275,@dorkydeanna IIII know!!! and mean,1
1957086168,neutral,lpstewie,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite",11
1957088340,neutral,pezz361356,"@miss_cheryl Lucky, now I want to teleport",12
1957090408,sadness,divinedreams4me,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",11
1957092017,sadness,Tinatru,@brianshead waah. We're no longer your peeps.,1
1957093924,neutral,mrs_mcsupergirl,@monpio i don't have any of that,9
1957097329,surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...,9
1957099757,neutral,aerynblack,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes",9
1957102266,worry,name_me_aly,depressed that i wasn't included in the morcom gardens quiz on facebook,11
1957104001,worry,missbossy,@RDeRozario woops! I only just realized my DMs to you are not going through,1
1957106328,sadness,alyssainescruz,#jonaswebcast i just missed it!!!!,12
1957109545,worry,RobertAlbrecht,Cannot sleep. 2+ hours of tossing and turning.,13
1957111702,worry,ChelseyChapman,@AshleighRyder I knooww  &amp; my hot water bottle iss in whangamata without me. ahhhhh,11
1957113650,sadness,janinebonilla,@chrisontv88 btw I am not a wimp,9
1957115476,neutral,DutchRaymond,@zaharh that sucks!  how old are you actually?,
1957117307,neutral,Munder11,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,13
1957119780,love,johnholdun,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick",8
1957121753,worry,Kay_Dazzle,@Tiff_Tiff_Marie  I think I do it too much....,9
1957123469,worry,billydrag,"At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...",9
1957125791,worry,flyingspaceship,@zhenerak I thought I was your best friend?,1
1957128727,sadness,caleighbenson,tummy ache.,11
1957131233,empty,miszundastood,Is ANYBODY up? .... I'm sooo bored!,2
1957133079,neutral,sukasukaariska,"Damn, hi Facebook ? what's wrong with you ? can't add photos",1
1957134780,worry,marci723,@RockedByPickler well I don't have vacations so let's NOT go there,9
1957137074,sadness,kerriruta,i miss oklahomaaaaa  listening to citizen cope til i pass out.,11
1957139854,sadness,team_sleep,Jenny fell asleep and didn't come over,11
1957142001,sadness,MadisonMitchell,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,13
1957144205,worry,GauravSaha,@RitikaKar  http://bit.ly/179jxS But gotta wiat till next week  btw...you from Mumbai itself?,9
1957145833,neutral,baneen,@curligirl morning hon. what you having for breakfast? I cant decide,9
1957147399,sadness,shermaineee,how to have a glowing face? my complexion is always so pale,9
1957148955,love,Adalias_Grave,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts,9
1957150332,worry,Cherye101,"@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping",13
1957152277,worry,Rianti_W,sooo.... Hot in here hufff.....,
1957154062,worry,katertotter,"@mayora not this part, unfortunately.",9
1957156210,worry,Joannazhou,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.",11
1957158993,worry,ashtangi_paul,Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get,11
1957160843,hate,victoriaaa_,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times",1
1957163020,neutral,camiv93313,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla",9
1957165874,neutral,At3f3h,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,1
1957168110,worry,kin_meng,I am dying to hangout on a Friday afternoon...,4
